Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,male,19,0,0,7.65,F G73,S
1,1,female,38,0,0,227.525,C45,C
1,2,female,27,0,0,10.5,E101,S
0,3,male,,0,0,15.5,,Q
0,3,male,33,0,0,7.775,,S
1,2,female,6,0,1,33,,S
0,3,male,17,1,0,7.0542,,S
0,2,male,34,0,0,13,,S
0,2,male,50,0,0,13,,S
1,1,male,27,1,0,53.1,E8,S
0,3,male,20,0,0,8.6625,,S
1,2,female,30,3,0,21,,S
1,3,female,,0,0,7.7375,,Q
0,2,male,25,1,0,26,,S
0,3,female,25,1,0,7.925,,S
1,1,female,29,0,0,211.3375,B5,S
0,3,male,11,0,0,18.7875,,C
0,2,male,,0,0,0,,S
0,2,male,23,0,0,13,,S
0,2,male,23,0,0,13,,S
0,3,male,28.5,0,0,16.1,,S
0,3,female,48,1,3,34.375,,S
1,1,male,35,0,0,512.3292,B101,C
0,3,male,,0,0,7.8958,,S
0,3,male,,0,0,7.8958,,S
1,1,male,,0,0,30,D45,S
0,1,male,36,1,0,78.85,C46,S
1,1,female,21,2,2,262.375,B57 B59 B63 B66,C
0,3,male,24,1,0,16.1,,S
1,3,male,31,0,0,7.925,,S
0,1,male,70,1,1,71,B22,S
0,3,male,16,1,1,20.25,,S
1,2,female,30,0,0,13,,S
0,1,male,19,1,0,53.1,D30,S
0,3,male,31,0,0,7.75,,Q
1,2,female,4,1,1,23,,S
1,3,male,6,0,1,12.475,E121,S
0,3,male,33,0,0,9.5,,S
0,3,male,23,0,0,7.8958,,S
1,2,female,48,1,2,65,,S
1,2,male,0.67,1,1,14.5,,S
0,3,male,28,0,0,7.7958,,S
0,2,male,18,0,0,11.5,,S
0,3,male,34,0,0,8.05,,S
1,1,female,33,0,0,86.5,B77,S
0,3,male,,0,0,14.5,,S
0,3,male,41,0,0,7.125,,S
1,3,male,20,0,0,7.2292,,C
1,1,female,36,1,2,120,B96 B98,S
0,3,male,16,0,0,7.775,,S
1,1,female,51,1,0,77.9583,D11,S
0,1,male,,0,0,39.6,,C
0,3,female,30.5,0,0,7.75,,Q
0,3,male,,1,0,24.15,,Q
0,3,male,32,0,0,8.3625,,S
0,3,male,24,0,0,9.5,,S
0,3,male,48,0,0,7.8542,,S
0,2,female,57,0,0,10.5,E77,S
0,3,male,,0,0,7.225,,C
1,2,female,54,1,3,23,,S
0,3,male,18,0,0,7.75,,S
0,3,male,,0,0,7.75,F38,Q
1,3,female,5,0,0,12.475,,S
0,3,male,,0,0,7.7375,,Q
1,1,female,43,0,1,211.3375,B3,S
1,3,female,13,0,0,7.2292,,C
1,1,female,17,1,0,57,B20,S
0,1,male,29,0,0,30,D6,S
0,3,male,,1,2,23.45,,S
0,3,male,25,0,0,7.05,,S
0,3,male,25,0,0,7.25,,S
1,3,female,18,0,0,7.4958,,S
0,3,male,8,4,1,29.125,,Q
1,3,male,1,1,2,20.575,,S
0,1,male,46,0,0,79.2,B82 B84,C
0,3,male,,0,0,7.75,,Q
0,2,male,16,0,0,26,,S
0,3,female,,8,2,69.55,,S
0,1,male,,0,0,30.6958,,C
0,3,male,25,0,0,7.8958,,S
0,2,male,39,0,0,13,,S
1,1,female,49,0,0,25.9292,D17,S
1,3,female,31,0,0,8.6833,,S
0,3,male,30,0,0,7.2292,,C
0,3,female,30,1,1,24.15,,S
0,2,male,34,0,0,13,,S
1,2,female,31,1,1,26.25,,S
1,1,male,11,1,2,120,B96 B98,S
1,3,male,0.42,0,1,8.5167,,C
1,3,male,27,0,0,6.975,,S
0,3,male,31,0,0,7.775,,S
0,1,male,39,0,0,0,A36,S
0,3,female,18,0,0,7.775,,S
0,2,male,39,0,0,13,,S
1,1,female,33,1,0,53.1,E8,S
0,3,male,26,0,0,7.8875,,S
0,3,male,39,0,0,24.15,,S
0,2,male,35,0,0,10.5,,S
0,3,female,6,4,2,31.275,,S
0,3,male,30.5,0,0,8.05,,S
0,1,male,,0,0,0,B102,S
0,3,female,23,0,0,7.925,,S
0,2,male,31,1,1,37.0042,,C
0,3,male,43,0,0,6.45,,S
0,3,male,10,3,2,27.9,,S
1,1,female,52,1,1,93.5,B69,S
1,3,male,27,0,0,8.6625,,S
0,1,male,38,0,0,0,,S
1,3,female,27,0,1,12.475,E121,S
0,3,male,2,4,1,39.6875,,S
0,3,male,,0,0,6.95,,Q
0,3,male,,0,0,56.4958,,S
1,2,male,1,0,2,37.0042,,C
1,3,male,,0,0,7.75,,Q
1,1,female,62,0,0,80,B28,
1,3,female,15,1,0,14.4542,,C
1,2,male,0.83,1,1,18.75,,S
0,3,male,,0,0,7.2292,,C
0,3,male,23,0,0,7.8542,,S
0,3,male,18,0,0,8.3,,S
1,1,female,39,1,1,83.1583,E49,C
0,3,male,21,0,0,8.6625,,S
0,3,male,,0,0,8.05,,S
1,3,male,32,0,0,56.4958,,S
1,1,male,,0,0,29.7,C47,C
0,3,male,20,0,0,7.925,,S
0,2,male,16,0,0,10.5,,S
1,1,female,30,0,0,31,,C
0,3,male,34.5,0,0,6.4375,,C
0,3,male,17,0,0,8.6625,,S
0,3,male,42,0,0,7.55,,S
0,3,male,,8,2,69.55,,S
0,3,male,35,0,0,7.8958,,C
0,2,male,28,0,1,33,,S
1,1,female,,1,0,89.1042,C92,C
0,3,male,4,4,2,31.275,,S
0,3,male,74,0,0,7.775,,S
0,3,female,9,1,1,15.2458,,C
1,1,female,16,0,1,39.4,D28,S
0,2,female,44,1,0,26,,S
1,3,female,18,0,1,9.35,,S
1,1,female,45,1,1,164.8667,,S
1,1,male,51,0,0,26.55,E17,S
1,3,female,24,0,3,19.2583,,C
0,3,male,,0,0,7.2292,,C
0,3,male,41,2,0,14.1083,,S
0,2,male,21,1,0,11.5,,S
1,1,female,48,0,0,25.9292,D17,S
0,3,female,,8,2,69.55,,S
0,2,male,24,0,0,13,,S
1,2,female,42,0,0,13,,S
1,2,female,27,1,0,13.8583,,C
0,1,male,31,0,0,50.4958,A24,S
0,3,male,,0,0,9.5,,S
1,3,male,4,1,1,11.1333,,S
0,3,male,26,0,0,7.8958,,S
1,1,female,47,1,1,52.5542,D35,S
0,1,male,33,0,0,5,B51 B53 B55,S
0,3,male,47,0,0,9,,S
1,2,female,28,1,0,24,,C
1,3,female,15,0,0,7.225,,C
0,3,male,20,0,0,9.8458,,S
0,3,male,19,0,0,7.8958,,S
0,3,male,,0,0,7.8958,,S
1,1,female,56,0,1,83.1583,C50,C
1,2,female,25,0,1,26,,S
0,3,male,33,0,0,7.8958,,S
0,3,female,22,0,0,10.5167,,S
0,2,male,28,0,0,10.5,,S
0,3,male,25,0,0,7.05,,S
0,3,female,39,0,5,29.125,,Q
0,2,male,27,0,0,13,,S
1,1,female,19,0,0,30,B42,S
0,3,female,,1,2,23.45,,S
1,1,male,26,0,0,30,C148,C
0,3,male,32,0,0,7.75,,Q
